tag,framework_aligned_H1_rmsd,framework_aligned_H2_rmsd,framework_aligned_H3_rmsd,framework_aligned_L1_rmsd,framework_aligned_L2_rmsd,framework_aligned_L3_rmsd,framework_aligned_antibody_rmsd,framework_aligned_cdr_rmsd,interaction_pae,pae,pred_lddt,target_aligned_antibody_rmsd,target_aligned_cdr_rmsd
design_0046,0.63,0.51,0.77,nan,nan,nan,0.44,0.66,4.4,3.1,0.9,1.32,1.15
design_0047,0.68,0.4,0.78,nan,nan,nan,0.45,0.66,3.64,2.77,0.9,0.83,0.84
design_0048,0.42,0.35,0.63,nan,nan,nan,0.41,0.49,2.75,2.26,0.91,2.47,2.18
design_0049,0.43,0.51,0.84,nan,nan,nan,0.46,0.64,3.33,2.58,0.9,0.95,1.11
design_0050,0.51,0.37,1.01,nan,nan,nan,0.47,0.71,3.83,2.89,0.9,2.39,2.17
design_0051,0.38,0.4,0.86,nan,nan,nan,0.45,0.61,2.53,2.13,0.92,2.61,2.26
design_0052,0.37,0.36,0.85,nan,nan,nan,0.44,0.6,3.28,2.62,0.9,2.5,2.24
design_0053,0.41,0.37,1.08,nan,nan,nan,0.47,0.73,2.78,2.27,0.91,2.53,2.38
design_0054,0.41,0.43,0.84,nan,nan,nan,0.44,0.61,3.25,2.61,0.9,2.13,1.96
design_0055,0.54,0.44,0.83,nan,nan,nan,0.46,0.64,3.65,2.81,0.9,1.97,1.89
design_0056,0.55,1.24,1.28,nan,nan,nan,0.58,1.09,10.49,6.11,0.88,1.14,1.01
design_0057,0.68,0.92,2.17,nan,nan,nan,0.75,1.52,14.43,7.87,0.89,27.7,17.66
design_0058,0.48,1.05,1.65,nan,nan,nan,0.62,1.22,3.54,2.8,0.9,1.03,1.34
design_0059,0.51,1.18,1.67,nan,nan,nan,0.64,1.27,3.83,2.98,0.89,1.03,1.5
design_0060,0.46,1.05,0.84,nan,nan,nan,0.48,0.81,3.51,2.78,0.9,0.74,0.86
design_0061,0.59,0.88,1.23,nan,nan,nan,0.54,0.97,13.53,7.55,0.89,34.68,17.63
design_0062,0.56,1.05,0.95,nan,nan,nan,0.51,0.88,4.25,3.15,0.89,1.12,1.33
design_0063,0.47,1.16,1.23,nan,nan,nan,0.55,1.03,3.45,2.8,0.89,0.71,0.99
design_0064,0.54,0.2,0.53,nan,nan,nan,0.4,0.46,12.55,6.85,0.9,3.65,1.68
design_0065,0.52,0.42,1.07,nan,nan,nan,0.47,0.72,9.47,5.44,0.89,7.8,5.77
design_0066,0.56,0.28,1.01,nan,nan,nan,0.48,0.68,13.9,7.61,0.9,3.57,2.5
design_0067,0.68,0.36,5.15,nan,nan,nan,1.26,2.93,15.54,8.56,0.89,19.32,13.15
design_0068,0.6,0.25,1.08,nan,nan,nan,0.49,0.72,13.18,7.29,0.89,4.7,2.48
design_0069,0.56,0.3,0.69,nan,nan,nan,0.45,0.54,13.0,7.11,0.9,4.59,2.07
design_0070,0.49,0.35,0.63,nan,nan,nan,0.43,0.5,14.35,7.74,0.9,3.05,3.54
design_0071,0.46,0.27,0.43,nan,nan,nan,0.39,0.4,13.0,7.07,0.91,26.71,24.47
design_0072,0.69,0.5,1.95,nan,nan,nan,0.61,1.21,3.04,2.43,0.91,0.95,1.36
design_0073,0.74,0.63,2.05,nan,nan,nan,0.64,1.29,3.08,2.44,0.91,1.23,1.64
design_0074,0.7,0.5,1.97,nan,nan,nan,0.61,1.22,2.95,2.38,0.91,1.43,1.82
design_0075,0.77,0.68,4.08,nan,nan,nan,1.04,2.37,11.81,6.73,0.89,24.92,25.46
design_0076,0.66,0.41,1.97,nan,nan,nan,0.6,1.2,2.98,2.37,0.91,1.2,1.61
design_0077,0.68,0.62,2.43,nan,nan,nan,0.7,1.47,3.52,2.79,0.9,1.05,1.58
design_0078,0.55,0.54,0.99,nan,nan,nan,0.47,0.72,13.86,7.55,0.9,9.71,5.72
design_0079,0.68,0.45,2.04,nan,nan,nan,0.62,1.24,2.72,2.25,0.91,1.13,1.58
design_0080,0.53,0.56,1.09,nan,nan,nan,0.48,0.76,13.23,7.31,0.9,4.15,3.69
design_0081,0.68,0.51,1.28,nan,nan,nan,0.51,0.88,12.31,6.88,0.89,5.42,4.12
design_0082,0.48,0.61,0.59,nan,nan,nan,0.43,0.56,10.42,5.9,0.89,6.23,3.95
design_0083,0.74,0.48,1.07,nan,nan,nan,0.48,0.79,11.77,6.59,0.89,6.94,5.11
design_0084,0.65,0.53,1.25,nan,nan,nan,0.52,0.86,9.79,5.63,0.88,11.02,7.95
design_0085,1.18,0.72,1.43,nan,nan,nan,0.63,1.15,13.06,7.25,0.89,12.34,6.45
design_0086,0.54,0.48,0.87,nan,nan,nan,0.45,0.65,10.18,5.74,0.89,5.17,2.51
design_0087,0.63,0.51,0.99,nan,nan,nan,0.47,0.73,12.17,6.8,0.89,5.93,2.71
design_0088,0.54,0.84,1.3,nan,nan,nan,0.53,0.93,13.35,7.34,0.89,22.55,10.84
design_0089,0.58,0.82,1.66,nan,nan,nan,0.57,1.1,14.67,8.06,0.9,19.27,10.57
design_0090,0.52,0.71,1.31,nan,nan,nan,0.51,0.9,13.86,7.6,0.89,13.71,7.74
design_0091,0.52,0.73,1.17,nan,nan,nan,0.49,0.84,13.93,7.62,0.9,6.52,5.21
design_0092,0.46,0.74,0.86,nan,nan,nan,0.47,0.7,13.82,7.5,0.9,5.53,3.44
design_0093,0.52,0.88,1.09,nan,nan,nan,0.5,0.85,14.18,7.75,0.9,10.9,5.46
design_0094,0.37,0.91,1.38,nan,nan,nan,0.53,0.96,12.28,6.83,0.89,5.2,2.92
design_0095,0.55,0.83,1.44,nan,nan,nan,0.53,0.99,11.29,6.39,0.89,6.39,3.03
design_0096,0.7,1.18,0.8,nan,nan,nan,0.51,0.91,4.92,3.35,0.89,1.97,2.01
design_0097,0.69,1.34,0.81,nan,nan,nan,0.52,0.98,15.13,8.26,0.89,18.04,9.92
design_0098,0.54,1.24,0.66,nan,nan,nan,0.5,0.86,5.0,3.4,0.89,1.65,1.68
design_0099,0.63,0.82,0.99,nan,nan,nan,0.45,0.81,16.0,8.69,0.89,31.02,17.12
design_0100,0.53,0.99,0.75,nan,nan,nan,0.46,0.77,14.99,8.19,0.9,12.18,8.66
design_0101,0.68,1.03,0.85,nan,nan,nan,0.49,0.86,15.86,8.6,0.9,25.5,14.95
design_0102,0.93,1.08,1.41,nan,nan,nan,0.58,1.13,15.25,8.38,0.89,17.61,12.63
design_0103,0.6,1.19,0.81,nan,nan,nan,0.49,0.89,15.0,8.2,0.9,20.97,15.62
design_0104,0.41,0.41,1.44,nan,nan,nan,0.5,0.88,3.47,2.55,0.91,1.17,1.32
design_0105,0.52,0.64,1.44,nan,nan,nan,0.51,0.94,3.04,2.34,0.91,1.66,1.8
design_0106,0.35,0.47,1.28,nan,nan,nan,0.48,0.79,3.19,2.4,0.91,1.29,1.42
design_0107,0.52,0.54,1.7,nan,nan,nan,0.54,1.05,3.94,2.77,0.9,2.02,2.38
design_0108,0.73,0.82,2.13,nan,nan,nan,0.65,1.36,13.47,7.46,0.9,29.28,20.02
design_0109,0.66,0.54,2.15,nan,nan,nan,0.64,1.31,2.88,2.28,0.91,2.1,2.36
design_0110,0.34,0.5,1.41,nan,nan,nan,0.5,0.87,3.11,2.38,0.91,1.44,1.58
design_0111,0.53,0.63,1.81,nan,nan,nan,0.57,1.13,3.58,2.6,0.91,2.24,2.54
design_0112,0.56,0.57,1.03,nan,nan,nan,0.46,0.73,11.49,6.53,0.89,2.73,2.67
design_0113,0.5,0.9,0.84,nan,nan,nan,0.46,0.75,13.98,7.69,0.9,27.09,21.73
design_0114,0.72,0.75,0.73,nan,nan,nan,0.46,0.73,14.04,7.76,0.9,29.52,18.62
design_0115,0.85,0.84,0.94,nan,nan,nan,0.5,0.87,13.23,7.29,0.9,25.05,26.85
design_0116,0.58,0.6,0.8,nan,nan,nan,0.44,0.65,12.16,6.85,0.89,2.4,2.68
design_0117,0.66,0.7,1.06,nan,nan,nan,0.49,0.8,13.79,7.72,0.89,19.26,18.86
design_0118,0.84,0.67,0.93,nan,nan,nan,0.5,0.81,13.76,7.57,0.9,3.59,4.35
design_0119,0.63,0.82,2.16,nan,nan,nan,0.64,1.3,12.38,6.88,0.9,29.0,18.69
design_0120,0.66,0.81,1.59,nan,nan,nan,0.62,1.19,16.89,8.98,0.9,30.95,15.74
design_0121,0.4,0.68,1.02,nan,nan,nan,0.5,0.79,3.88,2.86,0.9,0.91,1.32
design_0122,0.31,0.66,0.88,nan,nan,nan,0.47,0.7,4.13,2.98,0.9,1.78,2.25
design_0123,0.41,0.66,0.77,nan,nan,nan,0.46,0.65,7.93,4.79,0.89,1.3,1.14
design_0124,0.44,0.63,0.79,nan,nan,nan,0.46,0.66,4.18,3.01,0.9,1.75,2.12
design_0125,0.44,0.92,1.25,nan,nan,nan,0.55,0.98,16.05,8.62,0.9,32.26,14.48
design_0126,0.35,0.73,1.0,nan,nan,nan,0.49,0.78,3.12,2.47,0.91,1.65,2.12
design_0127,0.5,0.91,1.0,nan,nan,nan,0.54,0.85,14.98,8.15,0.9,17.06,11.99
design_0128,0.62,0.55,1.08,nan,nan,nan,0.49,0.78,12.75,7.03,0.9,4.59,2.25
design_0129,0.64,0.67,1.47,nan,nan,nan,0.55,0.99,14.43,7.99,0.88,10.07,4.77
design_0130,1.18,0.66,1.58,nan,nan,nan,0.67,1.2,13.69,7.58,0.88,14.63,9.12
design_0131,0.64,0.71,1.39,nan,nan,nan,0.54,0.96,7.9,4.73,0.88,9.72,7.14
design_0132,0.61,0.36,1.06,nan,nan,nan,0.49,0.73,14.2,7.64,0.91,13.56,7.49
design_0133,0.63,0.35,1.38,nan,nan,nan,0.51,0.89,4.86,3.28,0.89,10.05,7.63
design_0134,0.54,0.57,1.11,nan,nan,nan,0.5,0.78,14.2,7.73,0.9,11.28,8.91
design_0135,0.63,0.4,1.26,nan,nan,nan,0.52,0.84,13.04,7.18,0.9,9.23,4.26
design_0136,0.36,0.38,0.84,nan,nan,nan,0.44,0.59,4.39,3.2,0.9,1.51,1.33
design_0137,0.37,0.5,0.79,nan,nan,nan,0.43,0.6,3.91,2.92,0.9,1.31,1.29
design_0138,0.35,0.45,0.79,nan,nan,nan,0.43,0.58,4.42,3.16,0.89,1.47,1.37
design_0139,0.4,0.36,0.75,nan,nan,nan,0.42,0.55,3.95,2.97,0.9,1.52,1.48
design_0140,0.41,0.43,0.8,nan,nan,nan,0.43,0.59,3.02,2.41,0.91,1.29,1.27
design_0141,0.64,0.66,2.06,nan,nan,nan,0.7,1.37,14.77,8.16,0.88,20.98,16.14
design_0142,0.37,0.47,0.73,nan,nan,nan,0.42,0.56,2.93,2.39,0.91,1.38,1.47
design_0143,0.5,0.71,1.61,nan,nan,nan,0.6,1.1,15.39,8.35,0.9,27.28,21.09
design_0144,0.95,0.45,0.87,nan,nan,nan,0.54,0.82,10.49,6.04,0.88,20.15,19.34
design_0145,0.85,0.52,0.97,nan,nan,nan,0.55,0.85,13.91,7.56,0.89,23.47,20.93
design_0146,0.55,0.56,1.02,nan,nan,nan,0.53,0.81,15.49,8.23,0.9,23.56,18.99
design_0147,0.94,0.54,0.86,nan,nan,nan,0.53,0.82,10.39,5.9,0.89,19.48,18.93
design_0148,1.02,0.51,0.93,nan,nan,nan,0.58,0.88,15.09,8.13,0.9,20.34,13.69
design_0149,0.51,0.45,1.06,nan,nan,nan,0.52,0.81,12.03,6.63,0.89,20.33,19.99
design_0150,0.64,0.63,0.82,nan,nan,nan,0.48,0.73,13.86,7.56,0.89,10.25,9.13
design_0151,0.53,0.58,1.15,nan,nan,nan,0.54,0.89,14.6,7.83,0.9,23.44,20.26
design_0152,0.35,0.61,0.62,nan,nan,nan,0.41,0.54,2.83,2.32,0.91,2.1,2.13
design_0153,0.6,0.98,1.47,nan,nan,nan,0.6,1.11,13.82,7.55,0.9,29.5,19.76
design_0154,0.35,0.73,0.65,nan,nan,nan,0.42,0.59,3.94,2.88,0.9,0.71,0.7
design_0155,0.62,1.02,1.7,nan,nan,nan,0.64,1.24,14.13,7.75,0.9,29.15,19.43
design_0156,0.32,0.68,0.65,nan,nan,nan,0.41,0.57,3.04,2.45,0.91,1.74,1.88
design_0157,0.45,0.61,0.97,nan,nan,nan,0.46,0.73,3.32,2.58,0.91,1.0,1.23
design_0158,0.36,0.6,0.68,nan,nan,nan,0.42,0.57,3.07,2.52,0.9,1.63,1.8
design_0159,0.4,0.6,0.73,nan,nan,nan,0.41,0.6,2.86,2.34,0.91,1.69,1.85
design_0160,0.56,0.53,1.39,nan,nan,nan,0.53,0.9,13.5,7.38,0.89,21.02,17.23
design_0161,0.71,0.65,4.85,nan,nan,nan,1.21,2.78,13.74,7.74,0.88,21.3,12.06
design_0162,0.49,0.56,1.36,nan,nan,nan,0.55,0.88,14.07,7.71,0.9,7.68,5.22
design_0163,0.46,0.52,0.94,nan,nan,nan,0.49,0.66,14.35,7.8,0.89,6.43,3.12
design_0164,0.66,0.51,1.47,nan,nan,nan,0.57,0.96,12.67,7.11,0.89,5.85,3.11
design_0165,0.71,0.49,4.88,nan,nan,nan,1.22,2.79,15.11,8.44,0.88,6.67,6.41
design_0166,0.75,0.58,2.14,nan,nan,nan,0.67,1.33,13.15,7.3,0.89,19.38,13.26
design_0167,0.55,0.42,1.18,nan,nan,nan,0.5,0.78,12.34,6.86,0.89,7.75,3.9
design_0168,0.8,0.32,1.13,nan,nan,nan,0.49,0.82,3.31,2.48,0.91,0.88,1.02
design_0169,0.93,0.52,1.4,nan,nan,nan,0.55,1.01,4.48,3.13,0.89,2.23,2.74
design_0170,0.83,0.75,1.26,nan,nan,nan,0.52,0.97,12.43,6.85,0.91,29.09,19.81
design_0171,0.96,0.42,1.21,nan,nan,nan,0.52,0.93,14.46,7.83,0.9,2.64,2.59
design_0172,0.79,0.44,2.58,nan,nan,nan,0.75,1.55,7.28,4.42,0.9,24.27,27.32
design_0173,0.98,0.43,2.39,nan,nan,nan,0.7,1.49,3.79,2.76,0.9,1.81,2.35
design_0174,0.97,0.34,1.32,nan,nan,nan,0.55,0.96,9.76,5.62,0.89,24.54,27.33
design_0175,1.09,0.41,1.86,nan,nan,nan,0.63,1.26,14.39,7.86,0.89,25.06,18.38
design_0176,0.44,0.46,0.69,nan,nan,nan,0.41,0.54,13.8,7.51,0.9,4.8,4.1
design_0177,0.47,0.39,0.38,nan,nan,nan,0.4,0.42,13.97,7.51,0.91,8.85,9.08
design_0178,0.72,0.39,5.08,nan,nan,nan,1.24,2.9,14.93,8.14,0.89,13.1,7.34
design_0179,0.66,0.39,1.27,nan,nan,nan,0.49,0.85,10.89,6.15,0.89,5.48,3.52
design_0180,0.55,0.48,1.19,nan,nan,nan,0.49,0.79,14.02,7.76,0.89,6.09,3.38
design_0181,0.68,0.38,1.29,nan,nan,nan,0.49,0.86,11.66,6.48,0.9,5.56,3.48
design_0182,0.52,0.3,1.61,nan,nan,nan,0.56,0.97,12.05,6.71,0.89,21.0,20.13
design_0183,0.69,0.46,1.35,nan,nan,nan,0.52,0.9,7.77,4.74,0.88,10.54,7.8
design_0184,0.45,0.65,0.71,nan,nan,nan,0.44,0.61,2.47,2.09,0.92,1.23,1.42
design_0185,0.41,0.65,0.66,nan,nan,nan,0.44,0.59,2.5,2.12,0.92,1.27,1.43
design_0186,0.48,0.69,0.59,nan,nan,nan,0.44,0.59,2.85,2.33,0.91,0.87,0.76
design_0187,0.46,0.66,0.58,nan,nan,nan,0.43,0.57,2.59,2.15,0.92,1.26,1.47
design_0188,0.41,0.64,0.69,nan,nan,nan,0.45,0.6,2.51,2.11,0.92,1.13,1.31
design_0189,0.4,0.64,0.65,nan,nan,nan,0.43,0.58,2.54,2.12,0.92,1.14,1.32
design_0190,0.42,0.73,0.74,nan,nan,nan,0.45,0.65,2.52,2.12,0.92,1.29,1.48
design_0191,0.45,0.6,0.81,nan,nan,nan,0.46,0.65,2.49,2.11,0.92,1.46,1.62
design_0192,0.44,0.7,1.79,nan,nan,nan,0.64,1.23,4.21,3.09,0.89,1.33,1.93
design_0193,0.47,0.86,0.95,nan,nan,nan,0.51,0.8,3.54,2.74,0.9,1.21,1.19
design_0194,0.5,0.78,1.48,nan,nan,nan,0.59,1.07,3.85,2.9,0.9,0.92,1.26
design_0195,0.47,0.93,1.86,nan,nan,nan,0.67,1.32,15.75,8.44,0.9,31.34,13.14
design_0196,0.67,0.84,0.9,nan,nan,nan,0.52,0.82,3.88,2.96,0.9,0.99,1.13
design_0197,0.78,0.81,1.05,nan,nan,nan,0.55,0.91,4.22,3.11,0.89,1.47,1.54
design_0198,0.39,0.74,1.21,nan,nan,nan,0.52,0.89,3.85,2.91,0.9,1.01,1.38
design_0199,0.68,1.11,2.1,nan,nan,nan,0.75,1.51,14.03,7.7,0.9,27.16,21.71
design_0200,0.51,0.58,1.67,nan,nan,nan,0.66,1.22,5.67,3.99,0.87,1.32,1.48
design_0201,0.62,0.8,5.04,nan,nan,nan,1.65,3.53,17.84,9.91,0.86,33.91,16.21
design_0202,0.48,0.56,3.12,nan,nan,nan,1.06,2.2,4.2,3.49,0.87,1.5,2.25
design_0203,0.63,0.76,6.82,nan,nan,nan,2.2,4.75,20.12,10.74,0.87,37.19,31.09
design_0204,0.62,0.9,5.99,nan,nan,nan,1.94,4.18,16.49,9.11,0.88,14.13,10.88
design_0205,0.49,0.59,2.62,nan,nan,nan,0.92,1.85,5.37,3.93,0.87,1.22,1.94
design_0206,0.56,0.73,2.67,nan,nan,nan,0.94,1.91,4.19,3.35,0.88,1.39,1.85
design_0207,0.76,0.82,6.26,nan,nan,nan,2.03,4.37,17.08,9.43,0.87,30.08,23.83
design_0208,0.66,0.65,1.29,nan,nan,nan,0.6,0.98,14.6,8.0,0.89,7.27,4.14
design_0209,0.49,0.74,2.05,nan,nan,nan,0.73,1.43,15.7,8.41,0.9,16.82,10.58
design_0210,0.45,0.72,1.14,nan,nan,nan,0.53,0.87,16.6,8.82,0.91,36.28,16.73
design_0211,0.5,0.92,2.03,nan,nan,nan,0.74,1.45,12.43,6.85,0.9,30.21,18.87
design_0212,0.59,0.69,1.08,nan,nan,nan,0.55,0.86,15.8,8.47,0.9,17.66,7.55
design_0213,0.48,0.69,2.22,nan,nan,nan,0.77,1.53,15.27,8.29,0.9,7.65,5.36
design_0214,0.46,0.69,1.9,nan,nan,nan,0.69,1.33,15.22,8.2,0.9,20.09,11.57
design_0215,0.78,0.94,1.72,nan,nan,nan,0.69,1.31,11.41,6.59,0.88,30.85,18.38
design_0216,0.58,1.18,0.93,nan,nan,nan,0.58,0.92,15.97,8.64,0.9,27.1,17.34
design_0217,1.0,1.06,0.77,nan,nan,nan,0.61,0.92,4.2,2.99,0.9,2.07,1.46
design_0218,0.85,1.03,0.8,nan,nan,nan,0.56,0.88,3.57,2.82,0.9,1.25,0.89
design_0219,1.06,1.08,0.68,nan,nan,nan,0.59,0.92,4.84,3.38,0.89,2.73,2.16
design_0220,0.86,1.1,0.64,nan,nan,nan,0.56,0.84,3.5,2.72,0.9,1.19,0.86
design_0221,0.83,0.89,1.4,nan,nan,nan,0.64,1.14,16.68,8.92,0.88,14.46,10.14
design_0222,0.74,1.02,1.53,nan,nan,nan,0.69,1.22,15.04,8.1,0.89,24.77,15.91
design_0223,0.82,1.2,0.73,nan,nan,nan,0.56,0.89,16.18,8.74,0.9,19.2,15.9
design_0224,0.46,0.5,2.65,nan,nan,nan,0.95,1.9,4.27,3.33,0.88,1.67,2.16
design_0225,0.56,0.65,2.58,nan,nan,nan,0.94,1.87,3.98,3.13,0.89,1.79,2.27
design_0226,0.57,0.53,4.23,nan,nan,nan,1.46,3.02,5.1,3.62,0.88,2.32,3.54
design_0227,0.5,0.58,3.85,nan,nan,nan,1.34,2.75,5.18,3.69,0.88,2.83,3.24
design_0228,0.45,0.61,2.23,nan,nan,nan,0.83,1.62,4.02,3.25,0.88,1.41,1.75
design_0229,0.5,0.6,2.48,nan,nan,nan,0.91,1.8,5.34,3.86,0.88,2.28,2.1
design_0230,0.47,0.53,2.81,nan,nan,nan,1.01,2.02,3.94,3.18,0.89,1.71,2.2
design_0231,0.51,0.54,3.76,nan,nan,nan,1.3,2.69,4.48,3.45,0.88,1.97,2.77
design_0232,0.55,0.96,8.13,nan,nan,nan,2.7,5.77,15.96,8.9,0.87,35.56,15.87
design_0233,0.68,0.83,7.58,nan,nan,nan,2.52,5.38,20.1,10.98,0.86,43.96,26.31
design_0234,0.6,0.73,8.44,nan,nan,nan,2.8,5.99,19.12,10.2,0.89,33.77,16.45
design_0235,0.61,0.93,8.05,nan,nan,nan,2.68,5.72,18.22,9.81,0.89,37.43,18.28
design_0236,0.63,0.78,8.75,nan,nan,nan,2.9,6.21,17.87,9.55,0.89,40.27,21.43
design_0237,0.53,0.76,8.42,nan,nan,nan,2.8,5.97,17.07,9.34,0.88,26.19,12.97
design_0238,0.68,0.77,8.95,nan,nan,nan,2.97,6.35,16.85,8.93,0.89,38.74,19.72
design_0239,0.54,0.86,8.41,nan,nan,nan,2.79,5.97,18.15,9.59,0.89,37.17,18.14
design_0240,0.73,0.36,1.54,nan,nan,nan,0.56,0.99,14.07,7.74,0.89,8.04,4.91
design_0241,1.36,0.47,5.29,nan,nan,nan,1.35,3.1,5.91,3.81,0.89,5.37,6.21
design_0242,0.47,0.29,1.44,nan,nan,nan,0.51,0.87,5.73,3.7,0.89,6.15,5.02
design_0243,0.64,0.31,1.55,nan,nan,nan,0.53,0.97,15.19,8.17,0.91,9.5,7.14
design_0244,0.59,0.34,1.52,nan,nan,nan,0.53,0.94,13.86,7.55,0.91,14.17,17.35
design_0245,0.61,0.32,1.72,nan,nan,nan,0.58,1.05,12.18,6.83,0.88,7.03,3.74
design_0246,0.69,0.35,1.47,nan,nan,nan,0.53,0.95,13.95,7.63,0.9,10.66,7.41
design_0247,0.65,0.43,5.35,nan,nan,nan,1.3,3.04,15.17,8.28,0.89,10.23,6.53
design_0248,0.61,0.56,0.81,nan,nan,nan,0.5,0.7,14.85,8.16,0.88,21.76,18.56
design_0249,0.58,0.7,2.05,nan,nan,nan,0.8,1.52,16.21,8.6,0.91,18.18,16.04
design_0250,0.66,0.56,0.71,nan,nan,nan,0.46,0.67,17.17,9.09,0.91,28.5,15.57
design_0251,0.66,0.63,0.94,nan,nan,nan,0.5,0.8,15.73,8.48,0.9,25.08,18.72
