tag,framework_aligned_H1_rmsd,framework_aligned_H2_rmsd,framework_aligned_H3_rmsd,framework_aligned_L1_rmsd,framework_aligned_L2_rmsd,framework_aligned_L3_rmsd,framework_aligned_antibody_rmsd,framework_aligned_cdr_rmsd,interaction_pae,pae,pred_lddt,target_aligned_antibody_rmsd,target_aligned_cdr_rmsd
design_0125,1.76,2.33,3.79,2.23,1.38,2.3,1.52,2.62,17.55,9.42,0.88,32.44,24.93
design_0126,1.74,2.47,3.38,2.12,1.72,2.19,1.49,2.48,16.99,9.18,0.88,29.02,22.03
design_0127,1.73,2.33,3.65,2.21,1.37,2.69,1.55,2.62,17.52,9.33,0.88,10.8,11.53
design_0128,1.12,1.65,1.4,1.87,1.36,2.5,1.14,1.77,4.81,4.49,0.85,5.24,3.45
design_0129,0.92,1.94,1.8,1.91,1.38,2.56,1.2,1.9,6.54,5.26,0.84,5.7,3.72
design_0130,1.45,1.95,2.07,1.7,0.96,2.4,1.22,1.91,16.82,9.64,0.84,27.56,19.08
design_0131,1.04,2.16,7.23,1.96,0.83,7.58,2.57,5.2,15.68,9.03,0.84,29.37,18.26
design_0132,1.13,2.14,2.8,1.85,1.31,2.69,1.31,2.23,15.46,8.98,0.84,28.54,20.13
design_0133,1.34,1.83,1.71,1.83,1.08,2.65,1.19,1.89,14.4,8.59,0.84,30.27,21.6
design_0134,1.21,1.85,2.32,2.06,1.48,2.55,1.31,2.07,12.94,7.84,0.84,31.24,22.38
design_0135,1.35,1.92,2.25,1.67,1.04,2.39,1.21,1.94,18.68,10.41,0.84,22.72,16.01
design_0136,2.78,2.88,1.46,2.85,1.74,3.13,1.81,2.64,17.44,9.76,0.86,14.07,11.22
design_0137,2.83,2.88,1.19,2.95,1.63,2.9,1.78,2.58,16.69,9.46,0.86,16.17,12.94
design_0138,2.73,2.84,1.71,2.76,1.61,3.14,1.77,2.61,15.76,9.04,0.86,19.0,15.22
design_0139,2.85,3.06,1.26,2.82,1.88,4.5,1.92,3.08,17.13,9.66,0.86,29.72,22.65
design_0140,2.95,3.28,1.33,3.0,1.57,5.68,2.07,3.54,14.75,8.39,0.86,26.07,20.35
design_0141,2.69,3.21,1.15,2.79,1.78,4.63,1.91,3.1,16.11,9.22,0.85,25.13,19.26
design_0142,2.71,3.14,1.18,3.04,1.6,3.13,1.82,2.67,16.89,9.54,0.86,20.21,16.2
design_0143,2.76,2.77,1.12,2.72,1.58,3.09,1.72,2.54,16.75,9.5,0.86,17.87,14.31
design_0144,1.47,3.03,4.42,2.47,1.43,1.49,1.65,2.57,13.93,8.28,0.85,21.69,16.88
design_0145,1.18,3.29,3.37,2.18,1.0,5.11,1.8,3.25,17.21,9.62,0.86,13.72,10.93
design_0146,1.51,3.1,3.17,2.3,0.86,5.66,1.86,3.43,15.64,8.75,0.87,12.01,9.66
design_0147,1.18,3.22,3.25,2.29,1.0,5.6,1.86,3.42,15.21,8.62,0.86,9.35,7.56
design_0148,1.41,2.9,3.19,2.63,1.31,1.64,1.52,2.27,12.55,7.77,0.84,11.79,9.25
design_0149,1.44,2.85,1.78,2.36,1.1,2.1,1.4,2.02,12.25,7.63,0.84,5.48,4.45
design_0150,1.35,3.03,2.85,2.48,1.32,1.73,1.47,2.2,14.74,8.61,0.85,14.39,11.59
design_0151,1.51,3.06,2.21,2.21,1.18,5.63,1.79,3.29,13.22,7.96,0.85,6.89,6.22
design_0152,1.42,1.52,0.93,2.26,1.05,2.43,1.1,1.69,16.05,9.03,0.87,19.63,13.92
design_0153,1.59,1.34,1.54,2.3,1.29,2.4,1.14,1.81,15.43,8.37,0.89,13.5,9.37
design_0154,1.12,1.74,1.21,2.22,1.03,1.28,1.13,1.48,16.94,9.15,0.87,31.23,18.54
design_0155,1.41,1.44,1.05,2.41,1.26,2.25,1.14,1.7,15.44,8.82,0.86,6.58,4.42
design_0156,1.51,1.64,1.29,2.28,1.24,2.86,1.21,1.89,17.33,9.4,0.87,34.15,23.06
design_0157,1.48,1.32,1.01,2.23,1.09,2.4,1.07,1.67,15.12,8.19,0.89,13.89,9.36
design_0158,1.53,1.76,1.3,2.58,1.62,2.41,1.26,1.91,16.47,8.78,0.89,21.42,15.39
design_0159,1.47,1.56,1.39,2.3,1.23,2.89,1.21,1.9,17.11,9.23,0.88,22.36,17.59
design_0160,1.36,2.32,0.94,1.84,0.87,4.84,1.41,2.66,11.81,7.28,0.85,21.55,17.1
design_0161,1.84,2.16,0.83,2.31,0.91,1.8,1.24,1.76,17.96,9.78,0.86,24.25,13.87
design_0162,1.92,2.25,1.47,1.97,0.81,1.45,1.18,1.7,17.48,9.6,0.86,22.59,19.04
design_0163,1.67,2.47,1.0,2.12,1.05,5.27,1.59,2.92,16.99,9.39,0.86,32.86,25.05
design_0164,1.78,2.48,0.96,2.02,1.26,5.22,1.56,2.91,17.41,9.62,0.86,26.31,20.24
design_0165,1.45,2.6,1.48,1.96,1.16,4.57,1.46,2.67,13.4,8.01,0.85,19.09,15.07
design_0166,1.61,2.59,0.88,2.12,1.06,5.01,1.55,2.83,11.34,6.92,0.85,21.98,17.36
design_0167,2.09,2.02,1.08,2.16,1.11,1.65,1.29,1.76,18.34,9.92,0.86,30.57,23.46
design_0168,1.59,2.39,2.24,2.5,1.09,1.69,1.47,2.01,16.07,8.66,0.88,25.53,18.78
design_0169,0.99,2.19,6.83,2.05,0.82,1.13,1.78,3.48,17.19,9.41,0.87,36.61,26.1
design_0170,1.07,1.74,1.12,1.81,0.78,1.61,1.04,1.39,16.49,8.91,0.88,14.73,13.15
design_0171,1.13,1.73,0.8,1.92,1.12,1.51,1.07,1.39,16.4,8.88,0.88,9.73,7.81
design_0172,1.01,2.13,6.7,1.89,0.75,1.1,1.74,3.4,17.76,9.73,0.87,30.6,22.99
design_0173,1.51,2.26,3.34,2.37,1.03,1.49,1.48,2.24,15.56,8.61,0.87,32.97,23.29
design_0174,1.1,1.64,0.58,1.77,0.88,1.46,1.0,1.28,16.72,8.98,0.88,30.42,22.79
design_0175,1.25,1.88,0.73,2.05,1.45,1.58,1.15,1.51,16.92,8.93,0.89,32.85,25.5
design_0176,0.81,1.57,2.97,1.61,1.2,8.07,2.23,4.5,12.91,7.93,0.83,12.18,7.57
design_0177,0.98,1.82,4.47,1.68,1.08,10.09,2.78,5.7,16.46,9.48,0.84,27.43,18.16
design_0178,0.87,1.64,3.81,1.74,1.13,8.88,2.47,5.01,17.6,10.01,0.84,9.83,7.41
design_0179,1.05,1.92,4.83,1.79,1.36,10.2,2.86,5.82,16.96,9.55,0.86,16.47,13.17
design_0180,0.93,1.73,2.96,1.77,1.2,9.51,2.56,5.22,18.11,10.13,0.85,10.97,8.61
design_0181,0.93,1.67,4.36,2.04,1.12,10.0,2.75,5.65,16.53,9.44,0.84,18.94,12.93
design_0182,1.13,1.48,3.98,1.57,1.08,9.09,2.5,5.13,15.85,9.21,0.83,16.53,10.49
design_0183,1.01,1.51,5.59,1.86,1.09,8.81,2.58,5.29,16.63,9.6,0.84,25.54,17.93
design_0184,1.67,1.68,3.8,2.33,1.08,1.13,1.27,2.23,14.79,8.02,0.89,6.58,5.25
design_0185,1.78,1.75,3.85,2.19,1.09,0.99,1.3,2.24,15.06,8.17,0.89,7.43,5.54
design_0186,1.18,1.8,1.42,2.22,1.35,1.05,1.16,1.57,7.75,5.15,0.87,1.98,2.07
design_0187,1.67,1.78,3.88,1.9,1.06,1.12,1.24,2.19,15.14,8.26,0.89,9.82,8.37
design_0188,1.86,1.67,3.96,2.24,1.17,1.18,1.36,2.3,13.54,7.41,0.89,5.19,4.66
design_0189,1.78,1.77,3.88,2.25,1.29,1.04,1.36,2.28,15.83,8.5,0.89,12.56,8.71
design_0190,1.59,1.62,4.0,1.83,1.27,0.96,1.27,2.2,15.07,8.1,0.89,9.28,7.51
design_0191,1.92,1.93,3.88,2.3,1.2,1.04,1.31,2.32,15.38,8.32,0.88,17.41,10.93
design_0192,1.07,1.76,1.9,2.19,1.34,4.3,1.54,2.56,9.45,6.41,0.84,8.8,7.36
design_0193,1.16,1.81,1.82,2.19,1.03,3.92,1.48,2.39,13.9,8.27,0.84,10.75,8.33
design_0194,0.9,1.54,1.41,2.08,1.54,4.16,1.42,2.4,14.11,8.38,0.85,9.05,7.69
design_0195,0.85,1.61,1.32,1.97,1.17,4.31,1.41,2.41,12.31,7.64,0.84,10.09,7.66
design_0196,1.03,1.7,2.44,2.11,1.04,3.91,1.48,2.48,15.89,9.23,0.84,13.69,9.24
design_0197,1.38,2.23,1.75,2.47,1.1,4.04,1.63,2.53,13.37,8.0,0.84,33.86,22.58
design_0198,0.88,1.32,1.24,2.05,1.37,4.2,1.39,2.36,11.51,7.33,0.84,4.7,4.55
design_0199,0.91,1.53,1.43,2.43,1.19,4.16,1.47,2.43,16.56,9.39,0.85,31.87,23.63
design_0200,1.06,1.98,3.03,2.12,0.95,0.94,1.2,1.97,14.68,8.08,0.88,11.1,8.43
design_0201,1.24,2.51,3.2,2.28,1.03,1.18,1.39,2.18,14.97,8.07,0.89,27.62,19.8
design_0202,1.04,2.13,3.1,2.02,0.95,0.96,1.21,2.0,14.22,7.79,0.89,4.71,4.47
design_0203,1.04,2.65,1.95,2.41,0.99,1.06,1.27,1.84,15.32,8.29,0.88,17.14,11.71
design_0204,1.19,2.56,2.3,2.34,1.43,1.1,1.33,1.96,16.39,8.79,0.88,16.8,12.73
design_0205,1.08,2.05,3.11,2.06,0.94,1.04,1.24,2.01,10.9,6.43,0.87,7.73,6.27
design_0206,1.11,2.58,5.61,2.27,1.2,1.1,1.68,3.09,16.77,8.91,0.89,14.04,13.05
design_0207,1.16,2.21,3.26,2.28,1.04,1.03,1.27,2.14,15.32,8.23,0.89,11.49,8.49
design_0208,1.3,2.39,2.04,2.18,1.06,1.25,1.19,1.82,14.51,8.06,0.88,9.25,7.97
design_0209,1.63,1.99,2.13,1.91,0.88,1.32,1.12,1.77,15.38,8.36,0.88,23.84,17.15
design_0210,1.55,2.16,2.63,1.89,0.93,1.36,1.18,1.96,12.72,7.23,0.87,29.53,22.04
design_0211,1.63,2.4,2.38,1.93,1.15,1.57,1.24,1.96,16.04,8.8,0.87,29.7,21.89
design_0212,1.49,2.41,2.58,1.99,1.06,1.44,1.2,2.01,16.52,8.97,0.88,28.19,21.44
design_0213,1.46,2.31,2.22,2.02,1.07,1.53,1.17,1.88,15.21,8.33,0.87,7.92,7.01
design_0214,1.61,2.4,2.21,2.01,0.92,1.43,1.18,1.89,15.06,8.25,0.88,25.95,19.02
design_0215,1.64,2.43,3.77,2.42,1.46,2.24,1.58,2.65,12.04,6.86,0.88,4.96,4.15
design_0216,1.16,2.29,3.22,2.19,1.45,1.9,1.37,2.31,16.7,9.39,0.84,8.61,7.49
design_0217,1.14,2.67,3.2,2.57,1.39,1.3,1.46,2.33,5.13,4.4,0.86,8.42,6.95
design_0218,1.15,2.77,3.25,2.35,1.36,1.47,1.45,2.35,17.14,9.5,0.85,18.57,13.08
design_0219,1.37,2.6,3.6,2.54,1.38,1.98,1.53,2.57,15.5,8.85,0.85,9.03,6.71
design_0220,1.1,2.7,3.2,2.63,1.41,1.33,1.49,2.35,7.21,5.31,0.85,7.68,6.53
design_0221,1.37,2.98,2.97,2.45,1.69,1.28,1.45,2.32,5.54,4.67,0.86,29.81,20.95
design_0222,1.22,2.39,4.06,2.03,1.01,1.08,1.43,2.54,15.68,8.95,0.85,27.57,20.56
design_0223,1.08,2.65,2.73,2.4,1.58,2.01,1.4,2.23,10.92,6.82,0.85,30.49,22.19
design_0224,1.59,2.54,2.41,2.59,1.47,2.3,1.54,2.22,11.07,6.75,0.85,5.41,3.64
design_0225,1.22,2.28,1.77,2.32,0.96,2.39,1.31,1.9,17.02,9.26,0.87,11.09,7.03
design_0226,1.19,1.96,2.6,2.25,0.75,2.07,1.31,1.99,10.46,6.28,0.87,6.87,4.88
design_0227,1.11,1.87,1.03,1.87,0.82,2.24,1.13,1.55,14.22,7.92,0.88,4.87,4.22
design_0228,1.1,1.63,2.99,1.89,0.83,1.71,1.2,1.95,16.33,9.04,0.86,12.25,10.2
design_0229,1.2,1.86,1.4,1.88,0.76,1.7,1.11,1.52,16.96,9.13,0.87,7.97,5.46
design_0230,1.16,1.68,1.33,1.7,1.0,2.23,1.09,1.56,17.12,9.12,0.88,12.16,8.93
design_0231,1.22,1.87,1.34,1.96,0.97,2.27,1.17,1.66,16.03,8.69,0.87,25.79,19.55
design_0232,1.83,2.71,2.11,2.12,1.56,5.32,1.78,3.19,18.65,10.34,0.85,32.91,24.45
design_0233,2.05,2.91,1.77,2.37,1.67,2.8,1.57,2.37,16.86,9.54,0.86,20.46,16.26
design_0234,2.21,2.91,2.28,2.83,1.55,2.28,1.73,2.39,16.69,9.25,0.88,31.2,24.75
design_0235,1.94,2.64,1.97,2.21,1.43,3.32,1.56,2.44,13.25,8.13,0.84,21.92,17.69
design_0236,1.8,2.38,1.92,2.27,1.13,5.89,1.79,3.37,10.27,6.79,0.84,19.87,16.22
design_0237,1.94,2.5,2.16,2.28,1.38,6.3,1.89,3.6,9.3,6.19,0.85,21.0,17.05
design_0238,2.0,2.81,1.84,2.32,1.55,3.05,1.57,2.41,17.17,9.75,0.85,13.0,10.5
